round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,55,1800.1011914014816,error,,127.0.0.1,9300,66054521.99681728,66056322.098008685,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.004233077168464661,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,66054522.0019862,66054522.006219275,1782916265.937376,1782916265.9374363,6.031990051269531e-05,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.002821102738380432,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,66054522.00717749,66054522.00999859,1782916265.9412215,1782916265.9412794,5.793571472167969e-05,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.0025822892785072327,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,66054522.01079043,66054522.01337272,1782916265.9446445,1782916265.9447036,5.91278076171875e-05,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.0017496198415756226,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,66054522.014113426,66054522.015863046,1782916265.9474244,1782916265.947484,5.9604644775390625e-05,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.002042517066001892,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,66054522.016216785,66054522.0182593,1782916265.9498613,1782916265.9499345,7.319450378417969e-05,,0,network_transfer,
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.28708987683057785,http,524ba7eb6f70b4a8ed70a992785801f27c58f6c92a15758b210c402dce27419e,127.0.0.1,9200,66054522.01867608,66054522.30576596,1782916265.952237,1782916266.2265937,0.2743568420410156,,1,end_to_end_with_processing,
0,CS,C1,CS->C1,InitModel,1,1,,622686,0.042748987674713135,http,dedb5692061ecc59b64f573c80edc452e17c7fbd5bc80d952cab333f2f07ac17,127.0.0.1,9401,66054522.34336673,66054522.386115715,1782916266.282919,1782916266.3176048,0.03468585014343262,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622686,0.04264437407255173,http,ac41d1fd88b2b7ede41cc204a495a0652c4300e5b12d64d2667482678e086c29,127.0.0.1,9402,66054522.41215027,66054522.454794645,1782916266.351686,1782916266.3862443,0.03455829620361328,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622686,0.0427468940615654,http,a6e7089218b22748a27c1954bd63d23826fbad8492101d610cfcfc073b850da3,127.0.0.1,9403,66054522.48350305,66054522.526249945,1782916266.4230535,1782916266.4577014,0.03464794158935547,,0,network_transfer,
0,CS,C4,CS->C4,InitModel,1,4,,622686,0.04135590046644211,http,4d9ff19055322daa0ae0f8f99bcc45b83dd2b8e13b1acbe011c3252fb25dbda4,127.0.0.1,9404,66054522.554570846,66054522.59592675,1782916266.494148,1782916266.5273066,0.03315854072570801,,0,network_transfer,
0,CS,C5,CS->C5,InitModel,1,5,,622686,0.04411103576421738,http,5f8953274b6a9ae09382a5e6f3837946289e258059c601824cc6226ad4af7d85,127.0.0.1,9405,66054522.625111714,66054522.66922275,1782916266.5646358,1782916266.6007795,0.03614377975463867,,0,network_transfer,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.33176852762699127,http,ef9c8678b9b2237c838e68947a1244bd171b69f3629d15446e75caa0edd965a3,127.0.0.1,9200,66054524.38577747,66054524.717546,1782916268.3195806,1782916268.6487463,0.3291656970977783,,1,end_to_end_with_processing,
1,KGC,C1,KGC->C1,MaskMsg,1,1,,23017,0.02434340864419937,http,5a219c4c7ddb0fa1db9f70dec75f77179052f21e182d6bbb247a6c3197546fa6,127.0.0.1,9401,66054524.47770556,66054524.50204897,1782916268.4122298,1782916268.4335601,0.02133035659790039,,0,network_transfer,
1,KGC,C2,KGC->C2,MaskMsg,1,2,,23011,0.02325402945280075,http,79abc0c2cf31c18ba6d4b84b4f4674fc2ed4d504c17d2810c8cbc7e0c58ef325,127.0.0.1,9402,66054524.53163199,66054524.55488602,1782916268.4654155,1782916268.4864464,0.021030902862548828,,0,network_transfer,
1,KGC,C3,KGC->C3,MaskMsg,1,3,,22969,0.022457420825958252,http,9d4b384745c2748b59d461311a5026dfe4d94297e33f6e7099dd554e4a661e79,127.0.0.1,9403,66054524.584892675,66054524.607350096,1782916268.5190656,1782916268.5388095,0.019743919372558594,,0,network_transfer,
1,KGC,C4,KGC->C4,MaskMsg,1,4,,22962,0.024066351354122162,http,7abb51c996201d12b93f4045e1aea21e6c0ef8424504381e6ab592e923d29a5e,127.0.0.1,9404,66054524.63902006,66054524.663086414,1782916268.5730252,1782916268.5946383,0.021613121032714844,,0,network_transfer,
1,KGC,C5,KGC->C5,MaskMsg,1,5,,24015,0.02241694927215576,http,9966cc376fc6635453b1f1a1076f90853651b64793de9dd5ac6273b298346414,127.0.0.1,9405,66054524.69351524,66054524.71593219,1782916268.6275568,1782916268.6472178,0.01966094970703125,,0,network_transfer,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.15414360165596,http,8f729b8ba742b8ed66f77b3cffb1efca4eea2dea5b670a47585b5c197cfda001,127.0.0.1,9401,66054524.719386265,66054546.87352987,1782916268.6571028,1782916290.8050919,22.14798903465271,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,22.169931702315807,http,f7087440c8b1dd0031b049c9532dd22efbd00f6ac6e293d20bf483289743623d,127.0.0.1,9402,66054524.72054615,66054546.89047785,1782916268.6577356,1782916290.821576,22.163840532302856,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,21.897361993789673,http,203297d3e9101a2f353de84152a98933d1042b0a6d60321e089cc1b248134c9e,127.0.0.1,9403,66054524.72211957,66054546.61948156,1782916268.6584554,1782916290.550908,21.892452716827393,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,22.047536715865135,http,5779c252a6790e4500b80468a89fe28ceba183706cde31ff7223d749fd094bc4,127.0.0.1,9404,66054524.72322596,66054546.770762675,1782916268.6580927,1782916290.7022216,22.044128894805908,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,22.066908448934555,http,44d98cf44669616a5fc793169fcc91de7c40291671b8f7029a657945c65259f5,127.0.0.1,9405,66054524.72414394,66054546.791052386,1782916268.6581237,1782916290.722325,22.06420135498047,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,C3,CS,C3->CS,UpMsg,1,3,,2111999,0.022898070514202118,http,bee357a5b5ba838d48dde37890e8c9600641a60979f0ef79ce341f44f9b8bf4c,127.0.0.1,9300,66054546.54888563,66054546.5717837,1782916290.4980292,1782916290.5032263,0.005197048187255859,,0,network_transfer,
